product_id,cf_score,sentiment_score,hybrid_score
B000E1HVW0,4.727941054893281,5.0,4.809558738425297
B000H23YC2,4.598038711367617,5.0,4.718627097957332
B000X2CWTM,4.594991718626375,5.0,4.716494203038462
B003KLSZGW,4.548254416967888,4.9,4.653778091877522
B001L1DYAA,4.546699460530712,4.8,4.622689622371498
B001L1KH6Y,4.458363212735074,5.0,4.620854248914552
B002BCD2OG,4.534551676371333,4.8,4.614186173459933
B005FG6KZ8,4.44785625883926,5.0,4.6134993811874825
B0028VAQSU,4.598238071015865,4.6,4.598766649711105
B001EU5S9S,4.471739508795638,4.875,4.592717656156946
